Façades;isolation ;Isolation par l'extérieur;Isolation ;isolation laine de bois 18cm (R=4,5w/m2K);;m2;132 €;;100 €;110 €;138 €;124 €;136 €;170 €;119 €;131 €;164 €
Façades;isolation ;Isolation par l'extérieur;Isolation ;PSE 16 cm (R=4,5w/m2K);;m2;93 €;;70 €;77 €;96 €;87 €;95 €;119 €;83 €;92 €;115 €
Façades;isolation ;Isolation par l'extérieur;pare-vapeur;;;m2;33 €;;25 €;28 €;34 €;31 €;34 €;43 €;30 €;33 €;41 €
Façades;isolation ;Isolation par l'extérieur;structure bois secondaire;;;m2;79 €;;60 €;66 €;83 €;74 €;82 €;102 €;71 €;79 €;98 €
Façades;isolation ;Isolation par l'extérieur;pas de structure bois secondaire;;;m2;0 €;;0 €;0 €;0 €;0 €;0 €;0 €;0 €;0 €;0 €
Façades;isolation ;Isolation par l'extérieur;pare-pluie;;;m2;40 €;;30 €;33 €;41 €;37 €;41 €;51 €;36 €;39 €;49 €
Façades;isolation ;Isolation par l'extérieur;parachèvement extérieur;enduit;;m2;119 €;;90 €;99 €;124 €;111 €;123 €;153 €;107 €;118 €;147 €
Façades;isolation ;Isolation par l'extérieur;parachèvement extérieur;bardage bois;;m2;265 €;;200 €;220 €;275 €;248 €;272 €;340 €;238 €;262 €;328 €
Façades;revêtement extérieur;enduisage;ciment hydrofuge;;;m2;106 €;;80 €;88 €;110 €;99 €;109 €;136 €;95 €;105 €;131 €
Façades;revêtement extérieur;enduisage;chaux;;;m2;199 €;;150 €;165 €;206 €;186 €;204 €;255 €;179 €;197 €;246 €
Façades;revêtement extérieur;enduisage;crépi;;;m2;159 €;;120 €;132 €;165 €;149 €;163 €;204 €;143 €;157 €;197 €
Façades;revêtement extérieur;enduisage;peinture;;;m2;53 €;;40 €;44 €;55 €;50 €;54 €;68 €;48 €;52 €;66 €
Façades;revêtement extérieur;bardage;bois;;;m2;265 €;;200 €;220 €;275 €;248 €;272 €;340 €;238 €;262 €;328 €
Façades;revêtement extérieur;bardage;fibre ciment;;;m2;146 €;;110 €;121 €;151 €;136 €;150 €;187 €;131 €;144 €;180 €
Façades;revêtement extérieur;bardage;structure bois secondaire;;;m2;79 €;;60 €;66 €;83 €;74 €;82 €;102 €;71 €;79 €;98 €
Façades;revêtement extérieur;hydrofugation;par pulvérisation;;;m2;79 €;;60 €;66 €;83 €;74 €;82 €;102 €;71 €;79 €;98 €
Façades;revêtement extérieur;rejointoyage;rejointoyage ciment;;;m2;132 €;;100 €;110 €;138 €;124 €;136 €;170 €;119 €;131 €;164 €
Façades;Accessoires;nouveaux seuils;aluminium;;;mct;132 €;;100 €;110 €;138 €;124 €;136 €;170 €;119 €;131 €;164 €
Façades;Accessoires;nouveaux seuils;pierre bleue;;;mct;225 €;;170 €;187 €;234 €;210 €;231 €;289 €;202 €;223 €;278 €
Sol;isolation ;isolation d'une dalle de sol sur terre plein;démolition du sol (finition-chape-dalle);;;m2;53 €;;40 €;44 €;55 €;50 €;54 €;68 €;48 €;52 €;66 €
Sol;isolation ;isolation d'une dalle de sol sur terre plein;terrassement 15cm;;;m2;33 €;;25 €;28 €;34 €;31 €;34 €;43 €;30 €;33 €;41 €
Sol;isolation ;isolation d'une dalle de sol sur terre plein;dalle de sol;;;m2;132 €;;100 €;110 €;138 €;124 €;136 €;170 €;119 €;131 €;164 €
Sol;isolation ;isolation d'une dalle de sol sur terre plein;isolation PUR 10cm;;;m2;106 €;;80 €;88 €;110 €;99 €;109 €;136 €;95 €;105 €;131 €
Sol;isolation ;isolation d'une dalle de sol sur terre plein;chape ciment;;;m2;40 €;;30 €;33 €;41 €;37 €;41 €;51 €;36 €;39 €;49 €
Sol;isolation ;isolation d'une dalle de sol sur terre plein;finition de sol;bois;;m2;159 €;;120 €;132 €;165 €;149 €;163 €;204 €;143 €;157 €;197 €
Sol;isolation ;isolation d'une dalle de sol sur terre plein;finition de sol;carrelage;;m2;106 €;;80 €;88 €;110 €;99 €;109 €;136 €;95 €;105 €;131 €
Sol;isolation ;isolation d'un plancher + parquet;isolation de verre 15cm;laine de verre;;m2;106 €;;80 €;88 €;110 €;99 €;109 €;136 €;95 €;105 €;131 €
Sol;isolation ;isolation d'un plancher + parquet;isolation de verre 15cm;laine de bois;;m2;159 €;;120 €;132 €;165 €;149 €;163 €;204 €;143 €;157 €;197 €
Sol;isolation ;isolation d'un plancher + parquet;panneautage en bois;;;m2;66 €;;50 €;55 €;69 €;62 €;68 €;85 €;60 €;66 €;82 €
Sol;isolation ;isolation d'un plancher + parquet;parquet;;;m2;159 €;;120 €;132 €;165 €;149 €;163 €;204 €;143 €;157 €;197 €
Sol;isolation ;isolation d'un plafond de cave;isolation;laine de verre;;m2;79 €;;60 €;66 €;83 €;74 €;82 €;102 €;71 €;79 €;98 €
Sol;isolation ;isolation d'un plafond de cave;isolation;laine de bois;;m2;119 €;;90 €;99 €;124 €;111 €;123 €;153 €;107 €;118 €;147 €
Sol;isolation ;isolation d'un plafond de cave;isolation;PUR/PIR;;m2;106 €;;80 €;88 €;110 €;99 €;109 €;136 €;95 €;105 €;131 €
Sol;isolation ;isolation d'un plafond de cave;avec freine -vapeur;avec panneau OSB;;m2;66 €;;50 €;55 €;69 €;62 €;68 €;85 €;60 €;66 €;82 €
Sol;isolation ;isolation d'un plafond de cave;avec finition plaques de platre;avec finition plaques de platre;;m2;119 €;;90 €;99 €;124 €;111 €;123 €;153 €;107 €;118 €;147 €
Electricité;conformité électrique;installation lourde (equipements + cablages + tableaux divisionnaire);;;;m2;119 €;;90 €;99 €;124 €;111 €;123 €;153 €;107 €;118 €;147 €
Electricité;conformité électrique;installation légère (petits équipements);;;;m2;66 €;;50 €;55 €;69 €;62 €;68 €;85 €;60 €;66 €;82 €
Electricité;conformité électrique;remplacement compteurs électriques;;;;m2;1.986 €;;1.500 €;1.650 €;2.063 €;1.856 €;2.042 €;2.552 €;1.787 €;1.965 €;2.457 €
Electricité;conformité électrique;rapport de conformité électrique + schémas unifilaires;;;;fft;397 €;;300 €;330 €;413 €;371 €;408 €;510 €;357 €;393 €;491 €
Electricité;Panneaux photovoltaïques;panneaux;;;;m2;927 €;;700 €;770 €;963 €;866 €;953 €;1.191 €;834 €;917 €;1.146 €
